package_name,item_name,mandatory,fso_select_count
Heritage Funeral Service,Professional Services Fees for Full Service,Y,
Heritage Funeral Service,Registration and Documentation,Y,
Heritage Funeral Service,Embalming,Y,
Heritage Funeral Service,Other Care and Preparation,Y,
Heritage Funeral Service,Sheltering of Remains,Y,
Heritage Funeral Service,Transfer of Remains from Place of Death,Y,
Heritage Funeral Service,Flower Vehicle,Y,
Heritage Funeral Service,Funeral Vehicle (Hearse),Y,
Heritage Funeral Service,Limousine,N,
Heritage Funeral Service,Everlasting Memorial,Y,
Heritage Funeral Service,Estate Fraud Protection,Y,
Heritage Funeral Service,Dignity Heritage Burial Flowers,Y,
Heritage Funeral Service,Premium Venue,Y,
Heritage Funeral Service,FSO Trigger,N,1
Heritage Funeral Service,Catered Receptions III,N,
Heritage Funeral Service,Esteemed Collection,N,
Jade Burial Plan,Professional Services Fees for Full Service,Y,
Jade Burial Plan,Registration and Documentation,Y,
Jade Burial Plan,Embalming,Y,
Jade Burial Plan,Other Care and Preparation,Y,
Jade Burial Plan,Sheltering of Remains,Y,
Jade Burial Plan,Transfer of Remains from Place of Death,Y,
Jade Burial Plan,Flower Vehicle,Y,
Jade Burial Plan,Funeral Vehicle (Hearse),Y,
Jade Burial Plan,Limousine,N,
Jade Burial Plan,Estate Fraud Protection,Y,
Jade Burial Plan,Dignity Heritage Burial Flowers,Y,
Jade Burial Plan,Premium Venue,Y,
Jade Burial Plan,FSO Trigger,N,2
Jade Burial Plan,Catered Receptions III,Y,
